ClassName,Advanced AI
ClassID,CS671
Semester,Fall
Year,2025
StartDate,2025-08-25
EndDate,2025-12-15
ProfessorName,Mr. Anderson
City,McMurdo

StudentName,StudentID
Agent Smith,S011
Agent Jones,S012
Agent Brown,S013
Trinity,S014
Morpheus,S015
Cypher,S016
Tank,S017
Dozer,S018
Mouse,S019
Oracle,S020
Niobe,S021
Commander Lock,S022
Seraph,S023
Roy Batty,S024
Rachael Tyrell,S025
Ava,S026
Data,S027
T-800,S028
Sarah Connor,S029
WALL-E,S030
EVE,S031
Hal N. Thousand,S032
Sonny,S033
Marvin,S034
Leia Organa,S035
Luke Skywalker,S036
Artoo Detoo,S037
See Threepio,S038
Rick Deckard,S039
Ellen Ripley,S040
